symbol
AAPL.US
MSFT.US
GOOGL.US
GOOG.US
AMZN.US
META.US
NVDA.US
TSLA.US
AVGO.US
ADBE.US
CRM.US
CSCO.US
ORCL.US
ACN.US
AMD.US
INTC.US
QCOM.US
TXN.US
IBM.US
AMAT.US
MU.US
LRCX.US
ADI.US
INTU.US
NOW.US
SNPS.US
CDNS.US
KLAC.US
MRVL.US
NXPI.US
FTNT.US
PANW.US
CRWD.US
ANET.US
ON.US
MPWR.US
MCHP.US
HPQ.US
HPE.US
DELL.US
JPM.US
V.US
MA.US
BAC.US
WFC.US
GS.US
MS.US
BLK.US
SCHW.US
AXP.US
C.US
USB.US
PNC.US
TFC.US
BK.US
COF.US
CME.US
ICE.US
MCO.US
SPGI.US
MSCI.US
AON.US
MMC.US
CB.US
PGR.US
TRV.US
ALL.US
MET.US
PRU.US
AIG.US
AFL.US
UNH.US
JNJ.US
LLY.US
PFE.US
ABBV.US
MRK.US
TMO.US
ABT.US
DHR.US
BMY.US
AMGN.US
GILD.US
VRTX.US
REGN.US
ISRG.US
MDT.US
SYK.US
BSX.US
EW.US
ZBH.US
BDX.US
IDXX.US
DXCM.US
CI.US
HUM.US
ELV.US
CVS.US
MCK.US
CAH.US
HD.US
MCD.US
NKE.US
SBUX.US
LOW.US
TJX.US
TGT.US
ROST.US
ORLY.US
AZO.US
CMG.US
YUM.US
DPZ.US
BKNG.US
ABNB.US
MAR.US
HLT.US
LVS.US
WYNN.US
MGM.US
F.US
GM.US
PG.US
KO.US
PEP.US
COST.US
WMT.US
PM.US
MO.US
MDLZ.US
CL.US
KMB.US
GIS.US
K.US
KHC.US
HSY.US
SJM.US
CAG.US
CPB.US
EL.US
STZ.US
TAP.US
XOM.US
CVX.US
COP.US
EOG.US
SLB.US
MPC.US
PSX.US
VLO.US
OXY.US
PXD.US
HES.US
DVN.US
FANG.US
HAL.US
BKR.US
KMI.US
WMB.US
OKE.US
TRGP.US
CAT.US
HON.US
UNP.US
UPS.US
RTX.US
BA.US
DE.US
LMT.US
GE.US
MMM.US
GD.US
NOC.US
ITW.US
EMR.US
ETN.US
PH.US
ROK.US
CMI.US
PCAR.US
WM.US
RSG.US
CSX.US
NSC.US
FDX.US
CHRW.US
EXPD.US
JBHT.US
DAL.US
UAL.US
LUV.US
AAL.US
LIN.US
APD.US
SHW.US
ECL.US
DD.US
DOW.US
NEM.US
FCX.US
NUE.US
STLD.US
VMC.US
MLM.US
NEE.US
DUK.US
SO.US
D.US
AEP.US
EXC.US
SRE.US
XEL.US
PEG.US
WEC.US
ED.US
ES.US
AWK.US
AMT.US
PLD.US
CCI.US
EQIX.US
PSA.US
SBAC.US
O.US
WELL.US
AVB.US
EQR.US
DLR.US
SPG.US
VTR.US
NFLX.US
DIS.US
CMCSA.US
VZ.US
T.US
TMUS.US
CHTR.US
EA.US
ATVI.US
TTWO.US
WBD.US
PARA.US
OMC.US
IPG.US
XLB.US
XLC.US
XLE.US
XLF.US
XLI.US
XLK.US
XLP.US
XLRE.US
XLU.US
XLV.US
XLY.US
SPY.US
QQQ.US
IWM.US
DIA.US
VOO.US
VTI.US
IVV.US
RSP.US
MDY.US
IJH.US
IJR.US
TLT.US
IEF.US
SHY.US
LQD.US
HYG.US
JNK.US
BND.US
AGG.US
TIP.US
VCSH.US
VCIT.US
GLD.US
SLV.US
USO.US
UNG.US
GDX.US
GDXJ.US
XME.US
DBA.US
DBC.US
VXX.US
UVXY.US
SVXY.US
TQQQ.US
SQQQ.US
UPRO.US
SPXU.US
SPXS.US
SOXL.US
SOXS.US
LABU.US
LABD.US
EFA.US
EEM.US
VWO.US
IEMG.US
VEA.US
VXUS.US
EWJ.US
FXI.US
MCHI.US
EWZ.US
EWY.US
EWG.US
EWU.US
XBI.US
IBB.US
XOP.US
OIH.US
XHB.US
ITB.US
ARKK.US
ARKG.US
SMH.US
SOXX.US
XRT.US
KRE.US
KBE.US
XLG.US
MGK.US
VUG.US
VTV.US
MTUM.US
QUAL.US
USMV.US
VIG.US
VYM.US
SCHD.US
DVY.US
SDY.US
HDV.US
NOBL.US
